isbn,book_title,author,class_title,professor
9780679775447,Pragmatism: A Reader,Louis Menand,American Philosophy,Laura Weed
9780631210023,American Philosophies: An Anthology,Leonard Harris; Scott L. Pratt; Anne S. Waters,American Philosophy,Laura Weed
9780313377457,"Daily Life of the Aztecs: People of the Sun and
Earth",Davíd Carrasco; Scott Sessions,Aztec Philosophy,Jim Maffie
9781607324614,Aztec Philosophy: Understanding a World in Motion,James Maffie,Aztec Philosophy,Jim Maffie
087805566,In Defense of the Indians,Bartolomé de. Las Casas,Aztec Philosophy,Jim Maffie
9780292785328,Inca Myths,Gary Urton,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781444331158,The Incas,Terence N. D'Altroy,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781588340320,The Hold Life Has: Coca and Cultural Identity in an Andean Community,Catherine J. Allen,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781576073544,Handbook of Inca Mythology,Paul Richard Steele;  Catherine J. Allen,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9780521333931,"The Cambridge History of the Native Peoples of the Americas, Vol. 3: South America",Frank Salomon; Stuart B. Swartz,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781607327318,The Archaeology of Wak'as: Explorations of the Sacred in the Pre-Columbian Andes,Tamara Bray,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781851095742,The Incas: New Perspectives,Gordon F. McEwan,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie